mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
18.0,8,307.0,130.0,3504.0,12.0,70,US,CHEVROLET CHEVELLE MALIBU
15.0,8,350.0,165.0,3693.0,11.5,70,US,BUICK SKYLARK 320
18.0,8,318.0,150.0,3436.0,11.0,70,US,PLYMOUTH SATELLITE
16.0,8,304.0,150.0,3433.0,12.0,70,US,AMC REBEL SST
17.0,8,302.0,140.0,3449.0,10.5,70,US,FORD TORINO
15.0,8,429.0,198.0,4341.0,10.0,70,US,FORD GALAXIE 500
14.0,8,454.0,220.0,4354.0,9.0,70,US,CHEVROLET IMPALA
14.0,8,440.0,215.0,4312.0,8.5,70,US,PLYMOUTH FURY III
14.0,8,455.0,225.0,4425.0,10.0,70,US,PONTIAC CATALINA
15.0,8,390.0,190.0,3850.0,8.5,70,US,AMC AMBASSADOR DPL
15.0,8,383.0,170.0,3563.0,10.0,70,US,DODGE CHALLENGER SE
14.0,8,340.0,160.0,3609.0,8.0,70,US,PLYMOUTH 'CUDA 340
15.0,8,400.0,150.0,3761.0,9.5,70,US,CHEVROLET MONTE CARLO
14.0,8,455.0,225.0,3086.0,10.0,70,US,BUICK ESTATE WAGON (SW)
24.0,4,113.0,95.00,2372.0,15.0,70,JP,TOYOTA CORONA MARK II
22.0,6,198.0,95.00,2833.0,15.5,70,US,PLYMOUTH DUSTER
18.0,6,199.0,97.00,2774.0,15.5,70,US,AMC HORNET
21.0,6,200.0,85.00,2587.0,16.0,70,US,FORD MAVERICK
27.0,4,97.0,88.00,2130.0,14.5,70,JP,DATSUN PL510
26.0,4,97.0,46.00,1835.0,20.5,70,EU,VOLKSWAGEN 1131 DELUXE SEDAN
25.0,4,110.0,87.00,2672.0,17.5,70,EU,PEUGEOT 504
24.0,4,107.0,90.00,2430.0,14.5,70,EU,AUDI 100 LS
25.0,4,104.0,95.00,2375.0,17.5,70,EU,SAAB 99E
26.0,4,121.0,113.0,2234.0,12.5,70,EU,BMW 2002
21.0,6,199.0,90.00,2648.0,15.0,70,US,AMC GREMLIN
10.0,8,360.0,215.0,4615.0,14.0,70,US,FORD F250
10.0,8,307.0,200.0,4376.0,15.0,70,US,CHEVY C20
11.0,8,318.0,210.0,4382.0,13.5,70,US,DODGE D200
9.0,8,304.0,193.0,4732.0,18.5,70,US,HI 1200D
27.0,4,97.0,88.00,2130.0,14.5,71,JP,DATSUN PL510
28.0,4,140.0,90.00,2264.0,15.5,71,US,CHEVROLET VEGA 2300
25.0,4,113.0,95.00,2228.0,14.0,71,JP,TOYOTA CORONA
19.0,6,232.0,100.0,2634.0,13.0,71,US,AMC GREMLIN
16.0,6,225.0,105.0,3439.0,15.5,71,US,PLYMOUTH SATELLITE CUSTOM
17.0,6,250.0,100.0,3329.0,15.5,71,US,CHEVROLET CHEVELLE MALIBU
19.0,6,250.0,88.00,3302.0,15.5,71,US,FORD TORINO 500
18.0,6,232.0,100.0,3288.0,15.5,71,US,AMC MATADOR
14.0,8,350.0,165.0,4209.0,12.0,71,US,CHEVROLET IMPALA
14.0,8,400.0,175.0,4464.0,11.5,71,US,PONTIAC CATALINA BROUGHAM
14.0,8,351.0,153.0,4154.0,13.5,71,US,FORD GALAXIE 500
14.0,8,318.0,150.0,4096.0,13.0,71,US,PLYMOUTH FURY III
12.0,8,383.0,180.0,4955.0,11.5,71,US,DODGE MONACO (SW)
13.0,8,400.0,170.0,4746.0,12.0,71,US,FORD COUNTRY SQUIRE (SW)
13.0,8,400.0,175.0,5140.0,12.0,71,US,PONTIAC SAFARI (SW)
18.0,6,258.0,110.0,2962.0,13.5,71,US,AMC HORNET SPORTABOUT (SW)
22.0,4,140.0,72.00,2408.0,19.0,71,US,CHEVROLET VEGA (SW)
19.0,6,250.0,100.0,3282.0,15.0,71,US,PONTIAC FIREBIRD
18.0,6,250.0,88.00,3139.0,14.5,71,US,FORD MUSTANG
23.0,4,122.0,86.00,2220.0,14.0,71,US,MERCURY CAPRI 2000
28.0,4,116.0,90.00,2123.0,14.0,71,EU,OPEL 1900
30.0,4,79.0,70.00,2074.0,19.5,71,EU,PEUGEOT 304
30.0,4,88.0,76.00,2065.0,14.5,71,EU,FIAT 124B
31.0,4,71.0,65.00,1773.0,19.0,71,JP,TOYOTA COROLLA 1200
35.0,4,72.0,69.00,1613.0,18.0,71,JP,DATSUN 1200
27.0,4,97.0,60.00,1834.0,19.0,71,EU,VOLKSWAGEN MODEL 111
26.0,4,91.0,70.00,1955.0,20.5,71,US,PLYMOUTH CRICKET
24.0,4,113.0,95.00,2278.0,15.5,72,JP,TOYOTA CORONA HARDTOP
25.0,4,97.5,80.00,2126.0,17.0,72,US,DODGE COLT HARDTOP
23.0,4,97.0,54.00,2254.0,23.5,72,EU,VOLKSWAGEN TYPE 3
20.0,4,140.0,90.00,2408.0,19.5,72,US,CHEVROLET VEGA
21.0,4,122.0,86.00,2226.0,16.5,72,US,FORD PINTO RUNABOUT
13.0,8,350.0,165.0,4274.0,12.0,72,US,CHEVROLET IMPALA
14.0,8,400.0,175.0,4385.0,12.0,72,US,PONTIAC CATALINA
15.0,8,318.0,150.0,4135.0,13.5,72,US,PLYMOUTH FURY III
14.0,8,351.0,153.0,4129.0,13.0,72,US,FORD GALAXIE 500
17.0,8,304.0,150.0,3672.0,11.5,72,US,AMC AMBASSADOR SST
11.0,8,429.0,208.0,4633.0,11.0,72,US,MERCURY MARQUIS
13.0,8,350.0,155.0,4502.0,13.5,72,US,BUICK LESABRE CUSTOM
12.0,8,350.0,160.0,4456.0,13.5,72,US,OLDSMOBILE DELTA 88 ROYALE
13.0,8,400.0,190.0,4422.0,12.5,72,US,CHRYSLER NEWPORT ROYAL
19.0,3,70.0,97.00,2330.0,13.5,72,JP,MAZDA RX2 COUPE
15.0,8,304.0,150.0,3892.0,12.5,72,US,AMC MATADOR (SW)
13.0,8,307.0,130.0,4098.0,14.0,72,US,CHEVROLET CHEVELLE CONCOURS (SW)
13.0,8,302.0,140.0,4294.0,16.0,72,US,FORD GRAN TORINO (SW)
14.0,8,318.0,150.0,4077.0,14.0,72,US,PLYMOUTH SATELLITE CUSTOM (SW)
18.0,4,121.0,112.0,2933.0,14.5,72,EU,VOLVO 145E (SW)
22.0,4,121.0,76.00,2511.0,18.0,72,EU,VOLKSWAGEN 411 (SW)
21.0,4,120.0,87.00,2979.0,19.5,72,EU,PEUGEOT 504 (SW)
26.0,4,96.0,69.00,2189.0,18.0,72,EU,RENAULT 12 (SW)
22.0,4,122.0,86.00,2395.0,16.0,72,US,FORD PINTO (SW)
28.0,4,97.0,92.00,2288.0,17.0,72,JP,DATSUN 510 (SW)
23.0,4,120.0,97.00,2506.0,14.5,72,JP,TOYOUTA CORONA MARK II (SW)
28.0,4,98.0,80.00,2164.0,15.0,72,US,DODGE COLT (SW)
27.0,4,97.0,88.00,2100.0,16.5,72,JP,TOYOTA COROLLA 1600 (SW)
13.0,8,350.0,175.0,4100.0,13.0,73,US,BUICK CENTURY 350
14.0,8,304.0,150.0,3672.0,11.5,73,US,AMC MATADOR
13.0,8,350.0,145.0,3988.0,13.0,73,US,CHEVROLET MALIBU
14.0,8,302.0,137.0,4042.0,14.5,73,US,FORD GRAN TORINO
15.0,8,318.0,150.0,3777.0,12.5,73,US,DODGE CORONET CUSTOM
12.0,8,429.0,198.0,4952.0,11.5,73,US,MERCURY MARQUIS BROUGHAM
13.0,8,400.0,150.0,4464.0,12.0,73,US,CHEVROLET CAPRICE CLASSIC
13.0,8,351.0,158.0,4363.0,13.0,73,US,FORD LTD
14.0,8,318.0,150.0,4237.0,14.5,73,US,PLYMOUTH FURY GRAN SEDAN
13.0,8,440.0,215.0,4735.0,11.0,73,US,CHRYSLER NEW YORKER BROUGHAM
12.0,8,455.0,225.0,4951.0,11.0,73,US,BUICK ELECTRA 225 CUSTOM
13.0,8,360.0,175.0,3821.0,11.0,73,US,AMC AMBASSADOR BROUGHAM
18.0,6,225.0,105.0,3121.0,16.5,73,US,PLYMOUTH VALIANT
16.0,6,250.0,100.0,3278.0,18.0,73,US,CHEVROLET NOVA CUSTOM
18.0,6,232.0,100.0,2945.0,16.0,73,US,AMC HORNET
18.0,6,250.0,88.00,3021.0,16.5,73,US,FORD MAVERICK
23.0,6,198.0,95.00,2904.0,16.0,73,US,PLYMOUTH DUSTER
26.0,4,97.0,46.00,1950.0,21.0,73,EU,VOLKSWAGEN SUPER BEETLE
11.0,8,400.0,150.0,4997.0,14.0,73,US,CHEVROLET IMPALA
12.0,8,400.0,167.0,4906.0,12.5,73,US,FORD COUNTRY
13.0,8,360.0,170.0,4654.0,13.0,73,US,PLYMOUTH CUSTOM SUBURB
12.0,8,350.0,180.0,4499.0,12.5,73,US,OLDSMOBILE VISTA CRUISER
18.0,6,232.0,100.0,2789.0,15.0,73,US,AMC GREMLIN
20.0,4,97.0,88.00,2279.0,19.0,73,JP,TOYOTA CARINA
21.0,4,140.0,72.00,2401.0,19.5,73,US,CHEVROLET VEGA
22.0,4,108.0,94.00,2379.0,16.5,73,JP,DATSUN 610
18.0,3,70.0,90.00,2124.0,13.5,73,JP,MAXDA RX3
19.0,4,122.0,85.00,2310.0,18.5,73,US,FORD PINTO
21.0,6,155.0,107.0,2472.0,14.0,73,US,MERCURY CAPRI V6
26.0,4,98.0,90.00,2265.0,15.5,73,EU,FIAT 124 SPORT COUPE
15.0,8,350.0,145.0,4082.0,13.0,73,US,CHEVROLET MONTE CARLO S
16.0,8,400.0,230.0,4278.0,9.5,73,US,PONTIAC GRAND PRIX
29.0,4,68.0,49.00,1867.0,19.5,73,EU,FIAT 128
24.0,4,116.0,75.00,2158.0,15.5,73,EU,OPEL MANTA
20.0,4,114.0,91.00,2582.0,14.0,73,EU,AUDI 100LS
19.0,4,121.0,112.0,2868.0,15.5,73,EU,VOLVO 144EA
15.0,8,318.0,150.0,3399.0,11.0,73,US,DODGE DART CUSTOM
24.0,4,121.0,110.0,2660.0,14.0,73,EU,SAAB 99LE
20.0,6,156.0,122.0,2807.0,13.5,73,JP,TOYOTA MARK II
11.0,8,350.0,180.0,3664.0,11.0,73,US,OLDSMOBILE OMEGA
20.0,6,198.0,95.00,3102.0,16.5,74,US,PLYMOUTH DUSTER
19.0,6,232.0,100.0,2901.0,16.0,74,US,AMC HORNET
15.0,6,250.0,100.0,3336.0,17.0,74,US,CHEVROLET NOVA
31.0,4,79.0,67.00,1950.0,19.0,74,JP,DATSUN B210
26.0,4,122.0,80.00,2451.0,16.5,74,US,FORD PINTO
32.0,4,71.0,65.00,1836.0,21.0,74,JP,TOYOTA COROLLA 1200
25.0,4,140.0,75.00,2542.0,17.0,74,US,CHEVROLET VEGA
16.0,6,250.0,100.0,3781.0,17.0,74,US,CHEVROLET CHEVELLE MALIBU CLASSIC
16.0,6,258.0,110.0,3632.0,18.0,74,US,AMC MATADOR
18.0,6,225.0,105.0,3613.0,16.5,74,US,PLYMOUTH SATELLITE SEBRING
16.0,8,302.0,140.0,4141.0,14.0,74,US,FORD GRAN TORINO
13.0,8,350.0,150.0,4699.0,14.5,74,US,BUICK CENTURY LUXUS (SW)
14.0,8,318.0,150.0,4457.0,13.5,74,US,DODGE CORONET CUSTOM (SW)
14.0,8,302.0,140.0,4638.0,16.0,74,US,FORD GRAN TORINO (SW)
14.0,8,304.0,150.0,4257.0,15.5,74,US,AMC MATADOR (SW)
29.0,4,98.0,83.00,2219.0,16.5,74,EU,AUDI FOX
26.0,4,79.0,67.00,1963.0,15.5,74,EU,VOLKSWAGEN DASHER
26.0,4,97.0,78.00,2300.0,14.5,74,EU,OPEL MANTA
31.0,4,76.0,52.00,1649.0,16.5,74,JP,TOYOTA CORONA
32.0,4,83.0,61.00,2003.0,19.0,74,JP,DATSUN 710
28.0,4,90.0,75.00,2125.0,14.5,74,US,DODGE COLT
24.0,4,90.0,75.00,2108.0,15.5,74,EU,FIAT 128
26.0,4,116.0,75.00,2246.0,14.0,74,EU,FIAT 124 TC
24.0,4,120.0,97.00,2489.0,15.0,74,JP,HONDA CIVIC
26.0,4,108.0,93.00,2391.0,15.5,74,JP,SUBARU
31.0,4,79.0,67.00,2000.0,16.0,74,EU,FIAT X1.9
19.0,6,225.0,95.00,3264.0,16.0,75,US,PLYMOUTH VALIANT CUSTOM
18.0,6,250.0,105.0,3459.0,16.0,75,US,CHEVROLET NOVA
15.0,6,250.0,72.00,3432.0,21.0,75,US,MERCURY MONARCH
15.0,6,250.0,72.00,3158.0,19.5,75,US,FORD MAVERICK
16.0,8,400.0,170.0,4668.0,11.5,75,US,PONTIAC CATALINA
15.0,8,350.0,145.0,4440.0,14.0,75,US,CHEVROLET BEL AIR
16.0,8,318.0,150.0,4498.0,14.5,75,US,PLYMOUTH GRAND FURY
14.0,8,351.0,148.0,4657.0,13.5,75,US,FORD LTD
17.0,6,231.0,110.0,3907.0,21.0,75,US,BUICK CENTURY
16.0,6,250.0,105.0,3897.0,18.5,75,US,CHEVROELT CHEVELLE MALIBU
15.0,6,258.0,110.0,3730.0,19.0,75,US,AMC MATADOR
18.0,6,225.0,95.00,3785.0,19.0,75,US,PLYMOUTH FURY
21.0,6,231.0,110.0,3039.0,15.0,75,US,BUICK SKYHAWK
20.0,8,262.0,110.0,3221.0,13.5,75,US,CHEVROLET MONZA 2+2
13.0,8,302.0,129.0,3169.0,12.0,75,US,FORD MUSTANG II
29.0,4,97.0,75.00,2171.0,16.0,75,JP,TOYOTA COROLLA
23.0,4,140.0,83.00,2639.0,17.0,75,US,FORD PINTO
20.0,6,232.0,100.0,2914.0,16.0,75,US,AMC GREMLIN
23.0,4,140.0,78.00,2592.0,18.5,75,US,PONTIAC ASTRO
24.0,4,134.0,96.00,2702.0,13.5,75,JP,TOYOTA CORONA
25.0,4,90.0,71.00,2223.0,16.5,75,EU,VOLKSWAGEN DASHER
24.0,4,119.0,97.00,2545.0,17.0,75,JP,DATSUN 710
18.0,6,171.0,97.00,2984.0,14.5,75,US,FORD PINTO
29.0,4,90.0,70.00,1937.0,14.0,75,EU,VOLKSWAGEN RABBIT
19.0,6,232.0,90.00,3211.0,17.0,75,US,AMC PACER
23.0,4,115.0,95.00,2694.0,15.0,75,EU,AUDI 100LS
23.0,4,120.0,88.00,2957.0,17.0,75,EU,PEUGEOT 504
22.0,4,121.0,98.00,2945.0,14.5,75,EU,VOLVO 244DL
25.0,4,121.0,115.0,2671.0,13.5,75,EU,SAAB 99LE
33.0,4,91.0,53.00,1795.0,17.5,75,JP,HONDA CIVIC CVCC
28.0,4,107.0,86.00,2464.0,15.5,76,EU,FIAT 131
25.0,4,116.0,81.00,2220.0,16.9,76,EU,OPEL 1900
25.0,4,140.0,92.00,2572.0,14.9,76,US,CAPRI II
26.0,4,98.0,79.00,2255.0,17.7,76,US,DODGE COLT
27.0,4,101.0,83.00,2202.0,15.3,76,EU,RENAULT 12TL
17.5,8,305.0,140.0,4215.0,13.0,76,US,CHEVROLET CHEVELLE MALIBU CLASSIC
16.0,8,318.0,150.0,4190.0,13.0,76,US,DODGE CORONET BROUGHAM
15.5,8,304.0,120.0,3962.0,13.9,76,US,AMC MATADOR
14.5,8,351.0,152.0,4215.0,12.8,76,US,FORD GRAN TORINO
22.0,6,225.0,100.0,3233.0,15.4,76,US,PLYMOUTH VALIANT
22.0,6,250.0,105.0,3353.0,14.5,76,US,CHEVROLET NOVA
24.0,6,200.0,81.00,3012.0,17.6,76,US,FORD MAVERICK
22.5,6,232.0,90.00,3085.0,17.6,76,US,AMC HORNET
29.0,4,85.0,52.00,2035.0,22.2,76,US,CHEVROLET CHEVETTE
24.5,4,98.0,60.00,2164.0,22.1,76,US,CHEVROLET WOODY
29.0,4,90.0,70.00,1937.0,14.2,76,EU,VW RABBIT
